Order,Species,MCAll,MCp,MCpf,MCc,MCg,MCh,AlloAll,SM,BMf,LT,GT,IBI,BMn,BMw,BMin,LS,LpY,ML,NoC
Rodentia,Abeomelomys_sevia,0,0,0,0,0,0,0,0,58.39999998,NA,NA,NA,NA,NA,NA,1,NA,NA,3
Rodentia,Abrothrix_longipilis,0,0,0,0,0,0,0,0,36.93000003,NA,NA,16.99999999,3.29,NA,NA,3.699999999,21.17647057,NA,70
Rodentia,Abrothrix_olivaceus,0,0,0,0,0,0,0,0,21.04999999,NA,NA,NA,NA,NA,NA,5.34,2.000000002,NA,58
Carnivora,Acinonyx_jubatus,0,0,0,0,0,0,0,0,59999.99995,132.9999875,91.41132415,547.4998443,454.2100005,NA,NA,3.000000002,0.657534434,19,1528
Rodentia,Acomys_cahirinus,1,0,0,0,1,1,0,0,32.0000016,27.00000223,38.01893963,34.00000649,5.499999994,12.31,6.810000001,2.76,7.599999995,4.999999996,665
Rodentia,Acomys_russatus,0,0,0,0,0,0,0,0,41.00000003,NA,NA,NA,NA,NA,NA,2.500000002,NA,NA,170
Rodentia,Acomys_wilsoni,0,0,0,0,0,0,0,0,20.00000002,NA,NA,NA,3.49,10,6.510000006,2.289999998,7.899999995,5.6,13
Diprotodontia,Acrobates_pygmaeus,0,0,0,0,0,0,0,0,12.7,97.50000007,NA,183.0000001,0.01,3.440000003,3.43,2.799999998,2.000000002,8.799999997,74
Artiodactyla,Aepyceros_melampus,0,0,0,0,0,0,0,0,45150.00471,150.0000141,196.788629,365.0001139,5245.000006,14563.79999,9318.8,1,0.986301063,17.39999999,1289
Rodentia,Aethomys_chrysophilus,0,0,0,0,0,0,0,1,142.9999998,24.88,26.17000002,NA,4.429999998,30.98999998,26.56000002,3.089999997,NA,NA,82
Rodentia,Aethomys_hindei,0,0,0,0,0,0,0,0,134.9999998,NA,24.65999999,NA,NA,NA,NA,2.05,NA,NA,9
Rodentia,Aethomys_ineptus,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
Carnivora,Ailuropoda_melanoleuca,0,0,0,0,0,0,0,0,96999.99994,178.9800001,134.9899999,638.7499998,104.3900001,21999.98998,21895.60002,1.620000002,0.563600783,30.00000002,1399
Carnivora,Ailurus_fulgens,0,0,0,0,0,0,0,0,4900.000225,136.8749899,131.2199899,365.0001139,106.5000001,NA,NA,1.849999998,1,14.00000001,374
Artiodactyla,Alcelaphus_buselaphus,0,0,0,0,0,0,1,0,146499.9917,190.104151,242.6610095,345.4999589,12500,47894.46,35394.46001,1,1.041968287,19,367
Artiodactyla,Alcelaphus_lichtensteinii,0,0,0,0,0,0,0,0,164999.9999,NA,237,364.9999996,15000,NA,NA,0.980000001,0.986301369,NA,10
Artiodactyla,Alces_alces,0,0,0,0,0,0,0,0,421500.0204,106.4583425,236.0478233,365.0001139,13249.99999,86299.95992,73049.96009,1.5,1.699999999,26.99999999,10095
Primates,Allenopithecus_nigroviridis,0,0,0,0,0,0,0,0,3201.666663,106.1500001,NA,NA,240.7100001,NA,NA,1.010000001,NA,32.39999998,32
Primates,Alouatta_caraya,0,0,0,0,0,0,1,0,4602.50003,55.99999652,187.068214,337.6253131,261.9999998,NA,NA,1,1.066270763,20.3,545
Primates,Alouatta_palliata,0,0,0,0,0,0,1,0,5590.888884,495.6000003,185.4200001,684.3700007,318.2899998,1053.750001,735.4599993,1.020000001,0.52603124,26.99999999,813
Primates,Alouatta_seniculus,0,0,0,0,0,0,1,0,5599.999652,368.8021125,190.9853259,424.31267,295,NA,NA,1,0.848430946,25.00000002,444
Rodentia,Ammospermophilus_leucurus,0,0,0,0,0,0,0,0,100.4,64.51000002,29.37999997,NA,2.900000001,34.98999996,32.08999999,8,1.25,5.800000006,99
Rodentia,Ammospermophilus_nelsoni,0,0,0,0,0,0,0,0,NA,29.82999998,26,NA,4.869999998,41.00000003,36.13000004,8.900000007,1,NA,19
Artiodactyla,Ammotragus_lervia,0,0,0,0,0,0,0,0,69999.99355,121.6666639,156.3147643,212.9168341,4500.000002,NA,NA,1.350000002,1.690801019,21.70000001,235
Dasyuromorphia,Antechinus_agilis,0,0,0,0,0,0,0,0,NA,89.99000004,26.99999999,364.9999996,NA,10,10,10,0.986301369,4.700000001,90
Dasyuromorphia,Antechinus_minimus,0,0,0,0,0,0,0,0,42.00000093,87.50000946,27.92543841,365.0001139,0.04,NA,NA,7.199999993,1,NA,41
